Symbol	Description
JET	Canada Jetlines Ltd
JET.WT	Canada Jetlines Ltd Wts
JET.WT.A	Canada Jetlines Ltd Wts A
JFC	Jaguar Financial Corp
JG	Japan Gold Corp
JHC.H	Jinhua Capital Corp
JIM.H	Jiminex Inc
JNX	Junex Inc
JOR	Jourdan Resources Inc
JP	Jackpot Digital Inc
JP.WT	Jackpot Digital Inc Wts
JSE	Jadestone Energy Inc
JSP	Jasper Mining Corp
JTC	Jemtec Inc
JTR	Greenspace Brands Inc
JTR.WT	Greenspace Brands Inc Wts
JUB	Jubilee Gold Exploration Ltd
JUGR	Juggernaut Exploration Ltd.
JZR	Jazz Resources Inc
KALY	Kalytera Therapeutics Inc
KAP	Kapuskasing Gold Corp
KAR	Karmin Exploration Inc
KAS	Khalkos Exploration Inc
KASH	Hashchain Technologyinc
KAY.H	Karsten Energy Corp
KBG	Kings Bay Resources Corp
KBLT	Cobalt 27 Capital Corp
KBY	Kona Bay Technologies Inc
KC	Kutcho Copper Corp
KCC	Kincora Copper Limited
KDA	Kda Group Inc
KDI	Kennady Diamonds Inc
KEN	Kenadyr Mining Holdings Corp
KES	Kesselrun Resources Ltd
KFG	Kfg Resources Ltd
KG	Klondike Gold Corp
KGC	Kestrel Gold Inc
KGF	King George Financial Corp
KGL	Kilo Goldmines Ltd
KHA.H	Knighthawk Inc
KIV	Kivalliq Energy Corp
KLE.H	Kingsland Energy Corp
KLM	Kermode Resources Ltd
KMC.H	Kmt Hansa Corp
KMT	Komet Resources Inc
KNE	Kane Biotech Inc
KNG	Kingsmen Resources Ltd
KNT	K92 Mining Inc
KNX	Knick Exploration Inc
KR	Kr Investment Ltd
KRS	Kairos Capital Corp
KS	Klondike Silver Corp
KSI	Kneat.Com Inc
KTN	Kootenay Silver Inc
KTN.WT	Kootenay Silver Inc Wts
KTO	K2 Gold Corp
KTR	Kintavar Exploration Inc
KUB	Cub Energy Inc
KUR.H	Kure Technologies Inc
KUT	Redishred Capital Corp
KUU	Kuuhubb Inc
KYS.H	Kaymus Resources Inc
KZD	Kaizen Discovery Inc
LA	Los Andes Copper Limited
LAB	Labrador Gold Corp.
LAD	New Carolin Gold Corp
LAT	Latin American Minerals Inc
LBC	Libero Copper Corporation
LBI	Lions Bay Capital Inc
LBL	Lattice Biologics Ltd
LBY	Liberty One Lithium Corp
LDI	Lithoquest Diamonds Inc.
LEM	Leading Edge Materials Corp
LEN	Lund Enterprises Corp
LEP	Lithium Energy Products Inc
LET	Letho Resources Corp
LEXI	Lithium Energi Exploration Inc
LG	Lgc Capital Ltd
LGN	Legend Gold Corp
LGR	Logan Resources Ltd
LHR	Lakeview Hotel Invest Corp
LHR.DB.C	Lakeview Hotel Invest Corp Ser C Debs
LHR.DB.D	Lakeview Hotel Invest Corp Ser D Debs
LI	American Lithium Corp
LIC	Lico Energy Metals Inc
LIO	Lion One Metals Limited
LIR	Lamelee Iron Ore Ltd
LIT	Argentina Lithium and Energy Corp
LITH	Lithium Chile Inc.
LIX	Lithium X Energy Corp
LJ	Lucky Minerals Inc
LL	Canada Rare Earth Corp
LLC	Lorraine Copper Corp
LLG	Mason Graphite Inc
LM	Lingo Media Corp
LMD	Led Medical Diagnostics Inc
LME	Laurion Mineral Exploration Inc
LMG	Lincoln Mining Corp
LMR	Lomiko Metals Inc
LNC	Lithion Energy Corp
LND	Inspira Financial Inc
LNE.H	Loon Energy Corporation
LOOP	Loopshare Ltd
LOT	Tomagold Corp
LPC	Lorne Park Capital Partners Inc
LPK	Lupaka Gold Corp
LPS	Legend Power Systems Inc
LRA	Lara Exploration Ltd
LRC.H	Lovitt Resources Inc
LSC	Lsc Lithium Corp
LTE	Lite Access Technologies Inc
LTV	Leonovus Inc
LTX	Labrador Technologies Inc
LTY	Liberty Biopharma Inc
LUM	Lumina Gold Corp
LV.H	Ladera Ventures Corp
LXE	Leucrotta Exploration Inc
LXG	Lexagene Holdings Inc
M	Mosaic Capital Corp
M.DB	Mosaic Capital Corp 7.0 Pct Debs
MAC	Themac Resources Group Limited
MAD	Miranda Gold Corp
MAE	Maritime Resources Corp
MAH	Marksmen Energy Inc
MAI	Minera Alamos Inc
MAP	Maple Peak Investments Inc
MAS	Masuparia Gold Corp
MAT	Matamec Explorations Inc
MAY	Meadow Bay Gold Corp
MAZ.H	Mazarin Inc
MBG	Malbex Resources Inc
MBI	Med Biogene Inc
MBO	Mobio Technologies Inc
MCA.H	Milner Consolidated Silver Mines Ltd
MCF	Pinedale Energy Limited
MCG	Mountain China Resorts Holding Ltd
MCI	Minnova Corp
MCK	Manson Creek Resources Ltd
MCLD	Universal Mcloud Corp
MCM.A	Matachewan Cons Mines
MCO	Magnolia Colombia Ltd
MCR	Macro Enterprises Inc
MCS	Mcchip Resources Inc
MCU	Mega Copper Ltd.
MCX	Mcorpcx Inc
MD	Midland Exploration Inc
MDL	Medallion Resources Ltd
MDO	Manado Gold Corp
MDV	Megastar Development Corp
MDX	Medx Health Corp
MED	Medgold Resources Corp
MEI	Manitok Energy Inc
MEI.DB	Manitok Energy Inc 10.5 Pct Debs
MEK	Metals Creek Resources Corp
MET	Metalore Resources Limited
MEX	Mexican Gold Corp
MEZ.H	Mezzotin Minerals Inc
MFM	Marifil Mines Ltd
MFS	Medifocus Inc
MFX	Minfocus Exploration Corp
MGG	Minaurum Gold Inc
MGI	Magnum Goldcorp Inc
MGM	Maple Gold Mines Ltd.
MGM.WT	Maple Gold Mines Ltd Wts
MGW	Maple Leaf Green World Inc
MGZ.H	Mangazeya Mining Ltd
MHI	Mineral Hill Industries Ltd
MINE	Inomin Mines Inc
MIR	Medmira Inc
MIT	The Mint Corp
MIX	Micrex Development Corp
MJC.P	Mj Opportunity Corp.
MJN	Cronos Group Inc
MJS	Majestic Gold Corp
MK.H	Mk2 Ventures Ltd
MKA	Mkango Resources Ltd
MKR	Melkior Resources Inc
MKT	Deepmarkit Corp
MKU.H	Mukuba Resources Limited
ML	Millennial Lithium Corp
MLG	ML Gold Corp
MLN	Marlin Gold Mining Ltd
MLR	Melior Resources Inc
MLY	American Cumo Mining Corp
MMA	Midnight Sun Mining Corp
MMG	Metallic Minerals Corp
MMM	Minco Gold Corp
MMN	Monarca Minerals Inc
MMS	Macarthur Minerals Limited
MMV	Mineral Mountain Resources Ltd
MMX	Maverix Metals Inc
MMY	Monument Mining Limited
MN	Manganese X Energy Corp
MNO	Meridian Mining Societas Europaea
MNX	Manitex Capital Inc
MNY	Montan Mining Corp
MOE.H	Metropolitan Energy Corp
MOL	Molori Energy Inc
MON	Montero Mining and Exploration Ltd
MOO	Mooncor Oil and Gas Corp
MOON	Blue Moon Zinc Corp
MOX	Morien Resources Corp
MPH	Medicure Inc
MPT	Midpoint Holdings Ltd
MQR	Monarques Gold Corp
MQR.WT.A	Monarques Gold Corporation Wts A
MQX	Marquee Energy Ltd
MRL	Margaux Resources Ltd
MRO	Millrock Resources Inc
MRS	Mission Ready Services Inc
MRZ	Mirasol Resources Ltd
MSA	Mesa Exploration Corp
MSP	Minaean SP Construction Corp
MSR	Minsud Resources Corp
MTB	Mountain Boy Minerals Ltd
MTC	Metalcorp Ltd
MTH	Mammoth Resources Corp
MTN.H	Martina Minerals Corp
MTO	Metanor Res Inc
MTS	Metallis Resources Inc
MTT	Magna Terra Minerals Inc
MTU	Manitou Gold Inc
MTX	Metalex Ventures Ltd
MTZ	Montana Exploration Corp
MU.H	Monster Uranium Corp
MUM	Mustang Minerals Corp
MUN	Mundoro Capital Inc
MV.H	Movit Media Corp
MVI	Monitor Ventures Inc
MVN	Madalena Energy Inc
MVP	Mediavalet Inc
MVY	Moovly Media Inc
MWI.UN	Maplewood International REIT
MWX	Mineworx Technologies Ltd
MXL	Mx Gold Corp
MXR	Max Resource Corp
MXX	Matrrix Energy Technologies Inc
MYA	Maya Gold & Silver Inc
MZI	Mezzi Holdings Inc
MZZ	Val Dor Mining Corp
NAC	National Access Cannabis Corp
NAM	New Age Metals Inc
NAN	North American Nickel Inc
NAP	Napier Ventures Inc
NAR	North Arrow Minerals Inc
NBK.H	North Bluff Capital Corp
NBL.P	Nobelium Tech Corp
NBO.H	Nebo Capital Corp
NBR	Nubian Resources Ltd
NBY	Niobay Metals Inc
NCI	Ntg Clarity Networks Inc
NCX	Northisle Copper and Gold Inc
NDR	New Dimension Resources Ltd
NDVA	Indiva Limited
NED	New Destiny Mining Corp.
NEE	Northern Vertex Mining Corp
NEE.DB	Northern Vertex Mining Corp 5.0 Pct Debs
NEM	New Era Minerals Inc
NER	Newmac Resources Inc
NEV	Nevada Sunrise Gold Corp
NFD.A	Northfield Capital Corp Cl.A Rv
NGC	Northern Graphite Corp
NGE	Nevada Exploration Inc
NGH.H	Nexia Health Technologies Inc
NGY.H	Newcastle Energy Corp
NGZ	NRG Metals Inc
NIC	Pure Nickel Inc
NIK	Nikos Explorations Ltd
NIM	Nicola Mining Inc
NINE	Delta 9 Cannabis Inc
NIO	Niocan Inc
NIP	Nippon Dragon Resources Inc
NIR	Noble Iron Inc
NKW	Naikun Wind Energy Group Inc
NL	Northern Lion Gold Corp
NLC	NEO Lithium Corp
NLH	Nova Leap Health Corp
NM	Northern Empire Resources Corp
NMG	Noble Metal Group Inc
NNA	New Nadina Explorations Limited
NNN	Nickel One Resources Inc
NNO	Nano One Materials Corp
NNX	Nickel North Exploration Corp
NOB	Noble Mineral Exploration Inc
NOL.H	Knol Resources Corp
NOT	Noront Resources Ltd
NOU	Nouveau Monde Graphite Inc
NPA	Alphinat Inc
NRG	Newrange Gold Corp
NRM	Noram Ventures Inc
NRN	Northern Shield Resources Inc
NSE	New Stratus Energy Inc
NSP	Naturally Splendid Enterprises Ltd
NSX	Nsgold Corp
NTE	Network Media Group Inc
NTN.H	Newton Energy Corporation
NTQ	Novateqni Corp
NTRL	Sweet Natural Trading Co.
NTS	Nanotech Security Corp
NTY	92 Resources Corp
NU	Neutrisci International Inc
NUAG	New Pacific Metals Corp
NUG	Nulegacy Gold Coporation
NUK	North Sea Energy Inc
NUU	Nuuvera Inc.
NVH	Novoheart Holdings Inc
NVI	Novra Technologies Inc
NVM	Nevada Clean Magnesium Inc
NVO	Novo Resources Corp
NVT	Nortec Minerals Corp
NVV	Norvista Capital Corp
NVX	Nv Gold Corp
NVY	Navy Resources Corp
NW	New World Resources Corp
NWE	New West Energy Services Inc
NWX	Newport Exloration Ltd
NXG	Nexgenrx Inc
NXN	Nxgold Ltd
NXO	Nexoptic Technology Corp
NXR.UN	Nexus Real Estate Investment Trust
NXS	Nexus Gold Corp
NXT	Natcore Technology Inc
NYX	Nyx Gaming Group Limited
NZ	New Zealand Energy Corp
NZN	Nevada Zinc Corp
NZP	Chatham Rock Phosphate Limited
NZZ	Nitinat Minerals Corp
OCN	Oceanus Resources Corp
OCO	Oroco Resource Corp
ODX.H	Odyssey Resources Ltd
OEE	Memex Inc
OEG	Onenergy Inc
OG	Organic Garage Ltd
OGI	Organigram Holdings Inc
OGI.WT.A	Organigram Holdings Inc Wts
OGO	Organto Foods Inc
OIC	Onecap Investment Corporation
OK	Ok2 Minerals Ltd
OLA	Orla Mining Ltd
OLV	Olivut Resources Ltd
OM	Osisko Metals Incorporated
OML	Omni-Lite Industries Canada Inc
OMM	Omineca Mining and Metals Ltd
ONE	01 Communique Laboratory Inc
ONG	Bow Energy Ltd
ONV	Oronova Energy Inc
OOO	Otis Gold Corp
OOR	Opus One Resources Inc
OPW	Opawica Explorations Inc
ORC.B	Orca Exploration Group Inc Cl B
ORE	Orezone Gold Corp
ORG	Orca Gold Inc
ORM	Orford Mining Corporation
ORO	New Oroperu Resources Inc
ORS	Orestone Mining Corp
ORX	Orefinders Resources Inc
OS	Osprey Gold Development Ltd
OSS	Onesoft Solutions Inc
OSU	Orsu Metals Corp
OUP.H	Oriana Resources Corp
OVT	Oculus Visiontech Inc
OY	Oyster Oil and Gas Ltd
OYL	Cgx Energy Inc
PA	Palamina Corp
PAC	Pacton Gold Inc
PAD	Pan Andean Minerals Ltd
PAL	Parallel Mining Corp
PAM	Power Americas Minerals Corp
PAN	Pangolin Diamonds Corp
PAS	Pascal Biosciences Inc
PAT	Patriot One Technologies Inc
PAT.WT	Patriot One Technology Inc Wts
PAT.WT.A	Patriot One Technologies Inc Wts A
PAV.H	Pacific Arc Resources Ltd
PBM	Pacific Bay Minerals Ltd
PBR	Para Resources Inc
PBS	Pacgen Life Science Corp
PCI	Perlite Canada Inc
PCO	Phoenix Canada Oil Co.Ltd.
PCQ	Petrolympic Ltd
PCR	Pinecrest Resources Ltd
PDP	Pediapharm Inc
PE	Pure Energy Minerals Limited
PEA	Pieridae Energy Ltd.
PED.H	Pedro Resources Ltd
PEEK	Peeks Social Ltd
PEH	Primeline Energy Holdings Inc
PEO	People Corp
PET	Peat Resources Ltd
PEX	Pacific Ridge Exploration Ltd
PFC	Petrofrontier Corp
PFM	Prontoforms Corp
PGC	Plato Gold Corp
PGE	Group Ten Metals Inc
PGM	Pure Gold Mining Inc
PGS.H	Paget Minerals Corp
PGV	Prodigy Ventures Inc
PGX	Prosper Gold Corp
PGZ	Pan Global Resources Inc
PHD	Providence Gold Mines Inc
PHI	Philippine Metals Inc
PHL.H	Planet Health Corp
PHM	Patient Home Monitoring Corp
PHM.DB	Patient Home Monitoring 7.50 Pct Debs
PHO	Photon Control Inc
PJT	Partner Jet Corp
PJX	Pjx Resources Inc
PKC.H	Pacific Link Mining Corp
PKT	Parkit Enterprise Inc
PLA	Plata Latina Minerals Corp
PLO.H	Paloma Resources Inc.
PLU	Plateau Uranium Inc
PLX	Point Loma Resources Ltd
PLY	Playfair Mining Ltd
PMA	Petromaroc Corporation Plc
PML	Panoro Minerals Ltd
PNG	Kraken Robotics Inc.
PNN	Pennine Petroleum Corp
PNO	Pentanova Energy Corp
PNO.WT	Pentanova Energy Corp Wts
POC	Pacific Iron Ore Corp
POE	Pan Orient Energy Corp
POG	Perisson Petroleum Corp
POI.H	Pounce Technologies Inc
POOL	Pool Safe Inc
POR	Portofino Resources Inc
PP	Pacific Potash Corp
PPE.H	Pacific Paradym Energy Inc
PPK	Prospect Park Capital Corp
PPM	Pacific Imperial Mines Inc
PPP	Parlane Resource Corp
PPV.H	P and P Ventures Inc
PPX	Ppx Mining Corp
PPZ.H	Pacific Topaz Resources Ltd
PQE	Petroteq Energy Inc
PRB	Probe Metals Inc
PRG	Precipitate Gold Corp
PRH	Pearl River Holdings Limited
PRN	Profound Medical Corp
PROS	Prosmart Enterprises Inc
PRS	Prism Resources Inc
PRV.UN	Pro Real Estate Investment Trust
PRZ	Prize Mining Corp
PSC.P	Percy Street Capital Corp
PSH	Petroshale Inc
PSL	Prospero Silver Corp
PSQ.P	P Squared Renewables Inc
PST	Pistol Bay Mining Inc
PTC	Petrox Resources Corp
PTE	Pioneering Technology Corp
PTF	Pender Growth Fund Inc
PTK	Poet Technologies Inc
PTP	Petrichor Energy Inc
PTU	Purepoint Uranium Group Inc
PTV.H	Petro Vista Energy Corp
PUC	Pancontinental Gold Corp
PUL	Pulse Oil Corp
PUL.WT	Pulse Oil Corp Wts
PUM	Puma Exploration Inc
PVF.PR.U	Partners Value Investments Series 1 Pref
PVF.UN	Partners Value Investments  LP
PVF.WT	Partners Value Investments Warrants
PWM	Power Metals Corp
PX	Pelangio Exploration Inc
PXI	Planet Ventures Inc
PYD	Poydras Gaming Finance Corp
PYR	Pyrogenesis Canada Inc
QAI.H	Cairo Resources Inc
QGR	Q Gold Resources Ltd
QIC	Quantum International Income Corp
QIS	Quorum Information Technologies Inc
QIT	Quinto Resources Inc
QMC	Qmc Quantum Minerals Corp
QMX	Qmx Gold Corp
QNC	Quantum Numbers Corp
QPT	Quest Pharmatech Inc
QQ	Quizam Media Corp
QRO	Quadro Resources Inc
QST	Questor Technology Inc
QTA	Quaterra Resources Inc
QYOU	Qyou Media Inc
QZM	Quartz Mountain Resources Ltd
RAB	Rambler Metals and Mining Plc
RAK	Rackla Metals Inc
RB.H	Russell Breweries Inc
RBL.P	Rebel Capital Inc.
RBX	Robex Resources Inc
RCG	Resource Capital Gold Corp
RCK	Rock Tech Lithium Inc
RCLF	Rockcliff Metals Corporation
RCT	Rochester Resources Ltd
RDS	Radisson Mining Resources Inc
RDU	Radius Gold Inc
REG	Regulus Resources Inc
REKO	Reko International Group Inc
REL	Roughrider Exploration Limited
REN	Renaissance Gold Inc
REO	Reservoir Capital Corp
REW	Rewardstream Solutions Inc
REX	Orex Minerals Inc
REZ	Redzone Resources Ltd
RFC	Rifco Inc
RG	Romios Gold Resources Inc
RGC	Redstar Gold Corp
RGD	Reunion Gold Corp
RGI	Reco International Group Inc
RGM	Remington Resources Inc.
RGZ.H	Randsburg International Gold Corp
RHA	Annidis Corp
RHC	Rhc Capital Corp
RHT	Reliq Health Technologies Inc
RIN	Resinco Capital Partners Inc
RIO	Rio2 Limited
RJX.A	Rjk Explorations Ltd Cl.A Sv
RK	Rockhaven Resources Ltd
RKR	Rokmaster Resources Corp
RLV	Relevium Technologies Inc
RLY	Riley Resources Corp
RM	Routemaster Capital Inc
RMD	Richmond Minerals Inc
RMK	Red Moon Resources Inc
RML	Rusoro Mining Ltd
RMO	Rainy Mountain Royalty Corp
RNG	Reliant Gold Corp
RNP	Royalty North Partners Ltd
RNP.WT	Royalty North Partners Ltd Wts
ROC.H	Red Oak Mining Corp
ROCK	Rockridge Gold Ltd
ROE	Renaissance Oil Corp
ROE.WT	Renaissance Oil Corp Wts
ROE.WT.A	Renaissance Oil Corp Wts A
ROI	Route1 Inc
ROS	Roscan Minerals Corp
ROT	Rotation Minerals Ltd
ROX	Canstar Resources Inc
RP	Replicel Life Sciences Inc
RPC	Raise Production Inc
RPM	Rye Patch Gold Corp
RPP	Regent Pacific Properties Inc
RPR	Rapier Gold Inc
RPX	Red Pine Exploration Inc
RRD.H	Richmond Road Capital Corp
RRI	Riverside Resources Inc
RRL	Relentless Resources Ltd
RRM.H	Ross River Minerals Inc
RRR.UN	R and R Real Estate Investment Trust
RRS	Rogue Resources Inc
RSL	Royal Sapphire Corp
RST	Rosita Mining Corp
RSV	Resolve Ventures Inc
RSY	Rsi International Systems Inc
RTH	Rathdowney Resources Ltd
RTI	Radient Technologies Inc
RTM	Rt Minerals Corp
RTN	Return Energy Inc
RUF.DB.U	Pure Multi Family REIT LP 6.5 Pct Dbs
RUF.U	Pure Multi Family REIT LP
RUF.UN	Pure Multi Family REIT LP CAD
RUG	Rugby Mining Limited
RUM	Rocky Mountain Liquor Inc
RUM.DB.A	Rocky Mountain Liquor Inc 7.5 Pct Debs
RUN	Running Fox Resource Corp
RUP	Rupert Resources Ltd
RVG	Revival Gold Inc
RVL	Revelo Resources Corp
RVV	Revive Therapeutics Ltd
RW	Renoworks Software Inc
RWR	Rockwealth Resources Corp
RX	Biosyent Inc
RYE	Rhyolite Resources Ltd
RYO	Rio Silver Inc
RYP.H	Ripper Oil and Gas Inc
RYR	Royal Road Minerals Limited
RYU	Ryu Apparel Inc
RZE	Razor Energy Corp
RZL	Rizal Resources Corp
RZZ	Abitibi Royalties Inc
SA	Southern Arc Minerals Inc
SAE	Sable Resources Ltd
SAH	Sahara Energy Ltd
SAI	Sunshine Agri Tech Inc
SAND.P	Steamsand Capital Corp
SAT	Asian Television Network Int Ltd
SAY	Sparta Capital Ltd
SAY.H	Sparta Capital Ltd
SB	Stratabound Minerals Corp
SBM	Sirona Biochem Corp
SBO.H	Schwabo Capital Corp
SBS.H	Sebastiani Ventures Corp
SBW	Strongbow Exploration Inc
SC.H	Serrano Resources Ltd
SCA	Savary Gold Corp
SCR	Thescore Inc
SCR.WT	Thescore Inc Wts
SCYB	Scythian Biosciences Corp
SCZ	Santacruz Silver Mining Ltd
SDC	Solidusgold Inc
SDE	Standard Exploration Ltd
SDR	Stroud Resources Ltd
SDX	Sdx Energy Inc
SDZ	Security Devices International Inc
SEB	Smart Employee Benefits Inc
SEI	Sintana Energy Inc
SEK	Secova Metals Corp
SEW	Seaway Energy Services Inc
SFT	Softrock Minerals Ltd
SFX	Sphinx Resources Ltd
SGA	Samco Gold Limited
SGE	Strategem Capital Corp
SGI	Superior Gold Inc
SGM	Sutter Gold Mining Inc
SGN	Scorpio Gold Corp
SGU	Signature Resources Ltd
SGW	Shoal Games Ltd
SGX	Sage Gold Inc
SGZ	Sego Resources Inc
SHJ	Shoshoni Gold Ltd
SHL	Spruce Ridge Resources Ltd
SHM	Synstream Energycorp
SIC	Sokoman Iron Corp
SIE	Sienna Resources Inc
SIL	Silvercrest Metals Inc
SIL.WT	Silvercrest Metals Inc Wts
SIM	Siyata Mobile Inc
SIQ	Siq Mountain Industries Inc.
SIR	Serengeti Resources Inc
SJL	Saint Jean Carbon Inc
SJR.A	Shaw Communications Inc
SKE	Skeena Resources Limited
SKK	Strikewell Energy Corp.
SKP	Strikepoint Gold Inc
SLAU	Sandy Lake Gold Inc
SLG	Sterling Resources Ltd
SLK	Silk Road Energy Inc
SLL	Standard Lithium Ltd
SMB	Simba Essel Energy Inc
SMD	Strategic Metals Ltd
SME	Sama Resources Inc Ressources Sama Inc
SMI	Saturn Oil and Gas Inc
SMM	Silver Mountain Mines Inc
SMN	San Marco Resources Inc
SMO	Sonoro Metals Corp
SMS	Sustainco Inc
SMV.H	Smc Ventures Inc
SMY	Search Minerals Inc
SN	Sennen Potash Corp
SNF	Sunora Foods Inc
SNG	Silver Range Resources Ltd
SNI.PR.A	Sonor Investments Limited
SNL	Southern Lithium Corp
SNM	Shamaran Petroleum Corp
SNR	Senator Minerals Inc
SNS	Select Sands Corp
SNV	Sonoro Energy Ltd
SNX.H	Sixonine Ventures Corp
SOC	Sonora Gold & Silver Corp
SOCK	Smooth Rock Ventures Corp.
SOG	Strategic Oil and Gas Ltd
SOI	Sirios Resources Inc
SOJ	Sojourn Explorations Inc
SOLR	Solar Alliance Energy Inc
SPA	Spanish Mountain Gold Ltd
SPD	Silver Predator Corp
SPF	Silver Pursuit Resources Ltd
SPI	Canadian Spirit Resources Inc
SPK	Sunset Pacific Petroleum Ltd
SPN	Snipp Interactive Inc
SPP	Spot Coffee Canada Ltd
SPS.A	Sportscene Group Inc
SPX	Stellar Africagold Inc
SQD	Sqi Diagnostics Inc
SQG	Spackman Equities Group Inc
SR.H	Scorpion Resources Inc
SRA	Stria Lithium Inc
SRC	Stakeholder Gold Corp
SRE	Saville Resources Inc
SRG	Srg Graphite Inc
SRI	Sparton Resources Inc
SRJ	Spearmint Resources Inc
SRL	Salazar Resources Limited
SSA	Spectra Inc
SSC	Smartcool Systems Inc
SSE	Silver Spruce Resources Inc
SSG	Sigma Industries Inc
SSP	Sandspring Resources Ltd
SSS	Sunvest Minerals Corp
SSV	Southern Silver Exploration Corp
STA	Sanatana Resources Inc
STAR	Five Star Diamonds Limited
STC	Sangoma Technologies Corp
STE	Starr Peak Exploration Ltd
STH	Stelmine Canada Ltd
STI	Strategic Resources Inc
STMP	Stamper Oil & Gas Corp.
STR.H	Santa Rosa Resources Corp
STUS.A	Starlight US Multi Family No 5
STUS.U	Starlight US Multi Family No 5 USD
SUI.H	Superior Mining International Corp
SUP	Northern Superior Resources Inc
SUVA.A	Starlight US Multi Family No 1
SVA	Sernova Corp
SVE	Silver One Resources Inc
SVG	Silver Grail Resources Ltd
SVI	Storagevault Canada Inc
SVS	Solarvest Bioenergy Inc
SWA	Sarama Resources Ltd
SXE	Strata X Energy Ltd
SXL	Slam Exploration Inc
SY	Symbility Solutions Inc
SYH	Skyharbour Resources Ltd
SYI	Silvermet Inc
SYN	Syncordia Tech and Healthcare Solutions
SYZ	Sylogist Ltd
SZM	Scozinc Mining Ltd
TAC	Tasca Resources Ltd
TAE.H	Transamerican Energy Inc
TAJ	Tajiri Resources Corp
TAN	Tanager Energy Inc
TAU	Tintina Resources Inc
TBP	Tetra Bio Pharma Inc
TBR	Timberline Resources Corp
TCA	Timia Capital Corp
TCC	Trenchant Capital Corp
TCC.DB	Trenchant Capital Corp 9.0 Pct Debs
TCI	Target Capital Inc
TCO	Transatlantic Mining Corp
TEG.H	Troy Energy Corp
TEK	Tekmodo Industries Inc
TEM	Tembo Gold Corp
TEN	Terraco Gold Corp
TEP.DB	Transeastern Power Trust
TEP.UN	Transeastern Power Trust
TES	Tesoro Minerals Corp
TETH	Tethyan Resources Plc
TG	Trifecta Gold Ltd
TGH	Tornado Global Hydrovacs Ltd
TGI.H	True Grit Resources Ltd
TGR	Tiger International Resources
TGV	Tango Mining Limited
TGX	True North GEMS Inc
THCX	The Hydropothecary Corp
THCX.DB	The Hydropothecary Corp 7.0 Pct Debs
THH	Theia Resources Ltd
THP	Totally Hip Technologies Inc
THX	Thor Explorations Ltd
TIA.H	Triangle Industries Ltd
TIC	Titanium Corporation Inc
TIG	Triumph Gold Corp
TII	Terra Firma Capital Corp
TIL	Till Capital Ltd
TIM	Toachi Mining Inc
TIN	Eurotin Inc
TIP.H	Tyner Resources Ltd
TIR.H	Tiller Resources Ltd
TK	Tinka Resources Ltd
TKU	Tarku Resources Ltd
TKX	Trackx Holdings Inc
TLA	Titan Logix Corp
TLG	Troilus Gold Corp
TLK	Frankly Inc
TLT	Theralase Technologies Inc
TM	Trigon Metals Inc
TMG	Thermal Energy International Inc
TMS	Targeted Microwave Solutions Inc
TNA	Evergreen Gaming Corp
TNO.H	Terreno Resources Corp
TNR	Tnr Gold Corp
TOE	Tri Origin Exploration Ltd
TOM	Tolima Gold Inc
TORQ	Torq Resources Inc
TORR	Torrent Capital Ltd
TOVA.P	Tova Ventures II Inc
TPC	Tenth Avenue Petroleum Corp
TRA	Teras Resources Inc
TRAK	Trakopolis Iot Corp
TRB	Tribute Resources Inc
TREK	Trek Mining Inc
TREK.WT	Trek Mining Inc Wts
TRM	Trueclaim Exploration Inc
TRO	Taranis Resources Inc
TRS	Tres-Or Resources Ltd
TRU	Trius Investments Inc
TSD	Tsodilo Resources Ltd
TSG	Tristar Gold Inc
TSN	Telson Resources Inc
TSP	Titan Star Properties Inc
TSP.DB	Titanstar Properties Inc
TTD	Tinkerine Studios Ltd
TTM	3Tl Technologies Corp
TTR	Titanium Transportation Group Inc
TTS	Tintina Mines Ltd
TTZ	Total Telcom Inc
TUD	Tudor Gold Corp
TUF	Honey Badger Exploration Inc
TUO	Teuton Resources Corp
TVI	Tvi Pacific Inc
TVL	Traverse Energy Ltd
TWR	Tower Resources Ltd
TXR	Terrax Minerals Inc
TXX	Tirex Resources Ltd
TYE	Troymet Exploration Corp
TYP	Typhoon Exploration Inc
TZR	Terrace Energy Corp
TZR.DB	Terrace Energy Corp Debs
UCM.H	Upper Canyon Minerals Corp
UCU	Ucore Rare Metals Inc
UFC	Urbanfund Corp
UGD	Unigold Inc
UGE	Uge International Ltd
UHO	United Hunter Oil and Gas Corp
UI	Urbanimmersive Inc
ULI	Ultra Lithium Inc
UNI	Unisync Corp Class B
UNO	Northern Uranium Corp
URC	Uracan Resources Ltd
URZ	Urz Energy Corp
USCO	US Cobalt Inc
USS	Uniserve Communications Corp
UTY	Unity Energy Corp
UVN	Uravan Minerals Inc
VAL	Valgold Resources Ltd
VAN	Vangold Mining Corp
VANC	Vanc Pharmaceuticals Inc
VAX	Vantex Resources Ltd
VCI	Vitreous Glass Inc
VCV.H	Vatic Ventures Corp
VDO	Nevado Resources Corp
VEIN	Enforcer Gold Corp
VENZ	Venzee Technologies Inc.
VG	Volcanic Gold Mines Inc
VGD	Visible Gold Mines Inc
VGL	Vigil Health Solutions Inc
VGM	Global Gardens Group Inc
VGN	Greencastle Res Ltd
VGO	Vogogo Inc
VHI	Vitalhub Corp
VIC.P	Victory Capital Corp
VIO	Societe D Exploration Miniere Vior Inc
VIPR	Silver Viper Minerals Corp
VIR	Viridium Pacific Group Ltd
